type,series,date_numeric,.median_slope,.lower_slope,.upper_slope,.median_smooth,.lower_smooth,.upper_smooth,min,max
nonseasonal,Study 3.l,-325.69689478957923,-0.0012313100468119842,-0.0023920059836091134,8.10953224017465e-5,1.7143623064720623,1.5068934515423509,1.9265161000130309,-955,291
nonseasonal,Study 3.l,-322.5345701402806,-0.0012614824420609239,-0.0024185852241398464,4.273267377174979e-5,1.7102454504992481,1.5023111248290768,1.9244767233776594,-955,291
nonseasonal,Study 3.l,-319.372245490982,-0.0012908467962313708,-0.0024450097814376903,1.1327894711143857e-5,1.706186287573291,1.4988306531055582,1.9197728051433447,-955,291
nonseasonal,Study 3.l,-316.20992084168336,-0.0013210491663917523,-0.0024733235128415743,-2.3996232884071933e-5,1.7022953009560375,1.4947678878949755,1.916766787327271,-955,291
nonseasonal,Study 3.l,-313.04759619238484,-0.001350537591982004,-0.0024958393077034735,-5.5733842130313064e-5,1.6984276711497328,1.4906632958596289,1.9139977104544983,-955,291
nonseasonal,Study 3.l,-309.8852715430862,-0.0013793464294087343,-0.002520502699282501,-9.492823385692908e-5,1.694516194011286,1.48654061856338,1.9109338218545096,-955,291
nonseasonal,Study 3.l,-306.7229468937876,-0.0014093145825899711,-0.002554968361639931,-1.2471005317871161e-4,1.6901397409413224,1.4822661011987726,1.9078518478938955,-955,291
nonseasonal,Study 3.l,-303.5606222444891,-0.0014404836740089522,-0.0025798326534431926,-1.6323898328063377e-4,1.685751803167297,1.4774930702647855,1.9043695634976667,-955,291
nonseasonal,Study 3.l,-300.39829759519046,-0.0014739464437862893,-0.0026126800611481205,-2.0537491007277604e-4,1.681229596437162,1.4732161778194561,1.9001773228375345,-955,291
nonseasonal,Study 3.l,-297.23597294589183,-0.0015042446602775428,-0.002651797553437918,-2.4173407006111708e-4,1.6759989524663392,1.468130192633593,1.8947895626292006,-955,291
nonseasonal,Study 3.l,-294.0736482965932,-0.0015373366109017184,-0.0026827278463592563,-2.8258531297176154e-4,1.6714176849407856,1.463302685331326,1.8907843396037765,-955,291
nonseasonal,Study 3.l,-290.9113236472946,-0.0015702479092549737,-0.0027176602915679467,-3.2693700107167076e-4,1.6661297241916722,1.4585147449551705,1.8857714163311792,-955,291
nonseasonal,Study 3.l,-287.74899899799607,-0.0016060216468938293,-0.0027485583689423887,-3.6541546812873837e-4,1.6608001291977028,1.453661465731417,1.8807061090391752,-955,291
nonseasonal,Study 3.l,-284.58667434869744,-0.0016406781279121319,-0.0027830817919183293,-4.054351102678053e-4,1.6558914793593336,1.4480623319397115,1.8769078261816956,-955,291
nonseasonal,Study 3.l,-281.4243496993988,-0.0016758208470912805,-0.002810963365357244,-4.48837161132199e-4,1.651094073410881,1.4421470238266827,1.870866335869307,-955,291
nonseasonal,Study 3.l,-278.2620250501003,-0.0017096874244115767,-0.0028448424816918116,-4.872016661938706e-4,1.6458808414895754,1.4370679932637462,1.8652309819571775,-955,291
nonseasonal,Study 3.l,-275.0997004008017,-0.0017450169373933733,-0.0028744301637573244,-5.200242651881572e-4,1.6407489055086495,1.4320758072382744,1.8601086408119891,-955,291
nonseasonal,Study 3.l,-271.93737575150305,-0.0017834929045834613,-0.002908691006087149,-5.628481962727258e-4,1.6350289094586823,1.4266179037332682,1.8537483790643141,-955,291
nonseasonal,Study 3.l,-268.77505110220443,-0.001822640321225144,-0.002943940508631781,-6.054599766991412e-4,1.6294680303580051,1.421154364418362,1.8483920880848381,-955,291
nonseasonal,Study 3.l,-265.6127264529058,-0.001864808706120158,-0.002981972187615644,-6.446913678459517e-4,1.6234901398398567,1.4145313058641016,1.8422340243367963,-955,291
nonseasonal,Study 3.l,-262.4504018036073,-0.001903069000164237,-0.0030197119460451116,-6.841831116655152e-4,1.617794618848841,1.408266414277555,1.8361769696756318,-955,291
nonseasonal,Study 3.l,-259.28807715430867,-0.0019449880285238308,-0.0030574129165628072,-7.328735270650817e-4,1.6115768226039364,1.402019646658169,1.8302170043804504,-955,291
nonseasonal,Study 3.l,-256.12575250501004,-0.0019892556472056455,-0.0030981498457205436,-7.711174646540814e-4,1.6057386092590138,1.3959776022981247,1.8235464760284408,-955,291
nonseasonal,Study 3.l,-252.96342785571153,-0.0020321587520522044,-0.00314433840386541,-8.087705434756121e-4,1.5994387014946496,1.3894871557225914,1.8170680706002829,-955,291
nonseasonal,Study 3.l,-249.8011032064129,-0.0020734665892030435,-0.003195074463407943,-8.518176785488054e-4,1.592535093536156,1.3822446499633259,1.810324466639186,-955,291
nonseasonal,Study 3.l,-246.63877855711428,-0.0021159725848152178,-0.003235149218283606,-8.883507410961667e-4,1.5852990309172188,1.3760951071479512,1.8030796900465214,-955,291
nonseasonal,Study 3.l,-243.47645390781565,-0.002160040430521093,-0.003294483961213679,-9.292109450997903e-4,1.5786105751638455,1.3701134229067107,1.795487743926103,-955,291
nonseasonal,Study 3.l,-240.31412925851703,-0.002204496474034201,-0.003344253399040209,-9.73836451462208e-4,1.5715409757195746,1.3639765081098372,1.7889149097172767,-955,291
